State,District,Soil Type,Crop Type,Best Time of Harvest,Crop_Yield_ton,Temperature_C,Rainfall_mm,Suitable Fertilizer,Suitable Pesticide,Irrigation Method,Next Crop
Bihar,Gaya,Laterite,Maize,September-October,5.9098,21.2,780.6,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Mumbai,Loamy,Pulses,December-January,5.9098,37.5,553.1,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Udaipur,Laterite,Wheat,December-January,5.231,37.8,204.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Karnataka,Mysore,Sandy,Pulses,March-April,5.9098,28.3,677.2,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Bihar,Patna,Sandy,Rice,October-November,6.6054,16.0,1268.3,DAP,Carbendazim,Terrace Farming,Bajra
Gujarat,Rajkot,Sandy,Coffee,August-September,5.9098,24.4,219.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Karnataka,Hubli,Red,Pulses,September-October,5.9098,21.0,867.5,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Uttar Pradesh,Lucknow,Alluvial,Pulses,March-April,5.9098,32.5,656.8,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Karnataka,Hubli,Alluvial,Pulses,August-September,5.9098,18.6,1307.2,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Tamil Nadu,Madurai,Loamy,Rice,August-September,6.6054,29.7,832.6,DAP,Carbendazim,Terrace Farming,Barley
Tamil Nadu,Trichy,Black,Sugarcane,December-January,5.9098,32.0,1077.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Gujarat,Rajkot,Alluvial,Rice,August-September,6.6054,43.3,427.6,DAP,Carbendazim,Terrace Farming,Maize
Rajasthan,Kota,Sandy,Bajra,December-January,5.9098,43.9,449.2,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
Uttar Pradesh,Agra,Black,Wheat,August-September,5.231,12.2,848.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Punjab,Jalandhar,Red,Cotton,March-April,5.9098,28.5,373.7,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Maharashtra,Nashik,Black,Rice,December-January,6.6054,17.7,932.5,DAP,Carbendazim,Terrace Farming,Wheat
Gujarat,Rajkot,Sandy,Sugarcane,October-November,5.9098,37.3,772.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
West Bengal,Siliguri,Alluvial,Bajra,March-April,5.9098,21.4,1423.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Punjab,Amritsar,Loamy,Coffee,September-October,5.9098,36.7,495.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Uttar Pradesh,Agra,Laterite,Sugarcane,August-September,5.9098,23.2,605.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Uttar Pradesh,Lucknow,Alluvial,Sugarcane,August-September,5.9098,20.6,964.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Maharashtra,Mumbai,Loamy,Sugarcane,August-September,5.9098,32.9,1196.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Bihar,Patna,Alluvial,Maize,December-January,5.9098,18.3,1157.2,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Rajasthan,Kota,Alluvial,Cotton,October-November,5.9098,21.8,260.4,Potash,Imidacloprid,Furrow Irrigation,Maize
Uttar Pradesh,Lucknow,Loamy,Pulses,August-September,5.9098,19.0,683.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Bihar,Gaya,Alluvial,Pulses,August-September,5.9098,31.8,1175.9,Bio-fertilizer,Mancozeb,Traditional Method,Maize
West Bengal,Howrah,Sandy,Bajra,December-January,5.9098,27.5,1636.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
Karnataka,Bangalore,Sandy,Sugarcane,March-April,5.9098,29.7,1224.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Karnataka,Bangalore,Laterite,Rice,August-September,6.6054,18.2,1117.6,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Maharashtra,Mumbai,Loamy,Sugarcane,October-November,5.9098,27.5,788.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Madhya Pradesh,Jabalpur,Sandy,Cotton,September-October,5.9098,18.6,654.7,Potash,Imidacloprid,Furrow Irrigation,Bajra
West Bengal,Darjeeling,Alluvial,Cotton,October-November,5.9098,18.6,1461.0,Potash,Imidacloprid,Furrow Irrigation,Maize
Punjab,Jalandhar,Red,Tea,September-October,5.9098,35.7,694.3,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Gujarat,Vadodara,Loamy,Maize,August-September,5.9098,16.6,706.6,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Bihar,Patna,Black,Rice,March-April,6.6054,13.1,1074.5,DAP,Carbendazim,Terrace Farming,Wheat
Maharashtra,Nashik,Loamy,Jowar,March-April,5.9098,25.9,646.6,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Uttar Pradesh,Agra,Alluvial,Coffee,September-October,5.9098,37.0,839.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Rajasthan,Jaipur,Black,Wheat,September-October,5.231,31.0,130.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Punjab,Ludhiana,Red,Maize,March-April,5.9098,16.7,617.3,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Uttar Pradesh,Kanpur,Red,Jowar,December-January,5.9098,16.2,418.3,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Madhya Pradesh,Jabalpur,Loamy,Pulses,September-October,5.9098,34.9,742.5,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Maharashtra,Nagpur,Loamy,Pulses,December-January,5.9098,25.0,833.7,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Punjab,Jalandhar,Laterite,Wheat,September-October,5.231,39.3,552.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
West Bengal,Siliguri,Sandy,Coffee,March-April,5.9098,20.9,1058.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Bihar,Bhagalpur,Black,Wheat,October-November,5.231,38.7,1005.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Tamil Nadu,Madurai,Loamy,Coffee,October-November,5.9098,30.9,739.8,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Maharashtra,Nagpur,Black,Jowar,September-October,5.9098,29.8,612.5,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Tamil Nadu,Coimbatore,Alluvial,Wheat,December-January,5.231,23.3,755.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Punjab,Jalandhar,Alluvial,Coffee,August-September,5.9098,17.5,590.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Karnataka,Belgaum,Loamy,Wheat,December-January,5.231,31.6,1532.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Tamil Nadu,Madurai,Alluvial,Bajra,August-September,5.9098,32.6,933.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Madhya Pradesh,Gwalior,Loamy,Jowar,October-November,5.9098,35.9,671.3,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
West Bengal,Siliguri,Alluvial,Rice,September-October,6.6054,32.0,1687.6,DAP,Carbendazim,Terrace Farming,Maize
Madhya Pradesh,Bhopal,Black,Bajra,March-April,5.9098,33.9,730.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Rajasthan,Kota,Laterite,Jowar,October-November,5.9098,18.7,197.5,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
West Bengal,Kolkata,Sandy,Cotton,September-October,5.9098,25.1,1187.9,Potash,Imidacloprid,Furrow Irrigation,Bajra
Tamil Nadu,Chennai,Red,Wheat,August-September,5.231,22.8,1090.1,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Bihar,Patna,Red,Cotton,September-October,5.9098,16.0,960.7,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Punjab,Jalandhar,Loamy,Sugarcane,October-November,5.9098,32.1,314.4,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
West Bengal,Darjeeling,Loamy,Maize,September-October,5.9098,20.2,805.6,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Rajasthan,Kota,Red,Coffee,March-April,5.9098,44.4,246.8,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
West Bengal,Kolkata,Alluvial,Sugarcane,March-April,5.9098,20.4,1571.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Bihar,Patna,Loamy,Cotton,September-October,5.9098,29.4,832.1,Potash,Imidacloprid,Furrow Irrigation,Pulses
Maharashtra,Nashik,Black,Pulses,August-September,5.9098,25.0,1149.0,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
Bihar,Bhagalpur,Alluvial,Cotton,March-April,5.9098,35.8,1046.6,Potash,Imidacloprid,Furrow Irrigation,Maize
Gujarat,Vadodara,Sandy,Bajra,March-April,5.9098,31.3,456.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
West Bengal,Kolkata,Loamy,Pulses,August-September,5.9098,24.0,968.5,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Jaipur,Alluvial,Bajra,August-September,5.9098,42.5,205.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Maharashtra,Nagpur,Alluvial,Rice,September-October,6.6054,22.6,1152.0,DAP,Carbendazim,Terrace Farming,Maize
Maharashtra,Mumbai,Loamy,Rice,September-October,6.6054,18.8,871.8,DAP,Carbendazim,Terrace Farming,Barley
Karnataka,Hubli,Laterite,Tea,August-September,5.9098,29.6,1201.6,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Rajasthan,Udaipur,Red,Rice,September-October,6.6054,43.0,135.9,DAP,Carbendazim,Terrace Farming,Pulses
Punjab,Amritsar,Loamy,Sugarcane,October-November,5.9098,13.1,315.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Tamil Nadu,Madurai,Red,Tea,September-October,5.9098,33.0,819.0,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Punjab,Patiala,Sandy,Tea,September-October,5.9098,10.1,313.9,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Maharashtra,Pune,Sandy,Tea,December-January,5.9098,22.0,659.9,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Madhya Pradesh,Indore,Laterite,Coffee,December-January,5.9098,17.4,754.7,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Bihar,Bhagalpur,Red,Bajra,December-January,5.9098,34.1,889.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Bihar,Gaya,Sandy,Cotton,September-October,5.9098,25.1,797.5,Potash,Imidacloprid,Furrow Irrigation,Bajra
Uttar Pradesh,Agra,Black,Cotton,December-January,5.9098,26.3,1062.6,Potash,Imidacloprid,Furrow Irrigation,Soybean
Punjab,Patiala,Black,Bajra,December-January,5.9098,20.9,649.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
West Bengal,Darjeeling,Alluvial,Wheat,October-November,5.231,23.9,1536.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Bihar,Bhagalpur,Loamy,Rice,October-November,6.6054,38.7,967.0,DAP,Carbendazim,Terrace Farming,Barley
Rajasthan,Jodhpur,Laterite,Jowar,August-September,5.9098,20.9,100.7,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Tamil Nadu,Chennai,Loamy,Bajra,March-April,5.9098,34.6,1338.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Maharashtra,Mumbai,Loamy,Cotton,December-January,5.9098,41.1,766.3,Potash,Imidacloprid,Furrow Irrigation,Pulses
Tamil Nadu,Trichy,Sandy,Coffee,October-November,5.9098,34.4,600.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Tamil Nadu,Coimbatore,Alluvial,Tea,October-November,5.9098,31.7,1106.4,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Uttar Pradesh,Lucknow,Laterite,Maize,December-January,5.9098,27.0,680.1,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Pune,Sandy,Jowar,March-April,5.9098,32.6,847.4,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Punjab,Jalandhar,Laterite,Wheat,October-November,5.231,19.7,436.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Bihar,Muzaffarpur,Loamy,Cotton,October-November,5.9098,22.3,907.0,Potash,Imidacloprid,Furrow Irrigation,Pulses
Bihar,Muzaffarpur,Sandy,Sugarcane,October-November,5.9098,14.5,835.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Gujarat,Ahmedabad,Sandy,Jowar,August-September,5.9098,21.7,774.4,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Bihar,Gaya,Black,Wheat,December-January,5.231,15.9,859.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Karnataka,Bangalore,Laterite,Sugarcane,October-November,5.9098,27.7,1085.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
West Bengal,Darjeeling,Black,Cotton,March-April,5.9098,26.4,1229.2,Potash,Imidacloprid,Furrow Irrigation,Soybean
Maharashtra,Mumbai,Red,Pulses,October-November,5.9098,29.7,807.6,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
West Bengal,Darjeeling,Red,Jowar,October-November,5.9098,24.0,1461.6,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Uttar Pradesh,Lucknow,Red,Tea,December-January,5.9098,24.9,625.1,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
West Bengal,Howrah,Black,Rice,March-April,6.6054,20.4,1132.4,DAP,Carbendazim,Terrace Farming,Wheat
Uttar Pradesh,Varanasi,Black,Bajra,October-November,5.9098,32.1,900.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Maharashtra,Nashik,Loamy,Cotton,August-September,5.9098,33.9,1050.5,Potash,Imidacloprid,Furrow Irrigation,Pulses
Rajasthan,Udaipur,Laterite,Pulses,March-April,5.9098,26.3,169.3,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Bihar,Bhagalpur,Red,Bajra,October-November,5.9098,21.8,1183.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Uttar Pradesh,Varanasi,Loamy,Pulses,September-October,5.9098,28.0,963.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Kota,Red,Wheat,September-October,5.231,32.4,353.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Maharashtra,Nashik,Laterite,Jowar,October-November,5.9098,37.0,913.0,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Gujarat,Vadodara,Sandy,Sugarcane,December-January,5.9098,34.5,340.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Uttar Pradesh,Varanasi,Laterite,Jowar,August-September,5.9098,38.2,797.0,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Uttar Pradesh,Agra,Sandy,Cotton,October-November,5.9098,30.6,695.7,Potash,Imidacloprid,Furrow Irrigation,Bajra
Rajasthan,Udaipur,Laterite,Coffee,December-January,5.9098,13.8,461.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Uttar Pradesh,Lucknow,Sandy,Rice,October-November,6.6054,21.4,636.4,DAP,Carbendazim,Terrace Farming,Bajra
Tamil Nadu,Chennai,Sandy,Jowar,October-November,5.9098,21.5,787.9,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Uttar Pradesh,Agra,Sandy,Wheat,August-September,5.231,18.6,478.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Punjab,Patiala,Laterite,Bajra,October-November,5.9098,34.7,540.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Punjab,Jalandhar,Sandy,Maize,December-January,5.9098,32.6,557.0,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
West Bengal,Howrah,Laterite,Pulses,October-November,5.9098,24.6,1382.9,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Gujarat,Ahmedabad,Black,Jowar,September-October,5.9098,17.9,379.8,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Punjab,Patiala,Loamy,Jowar,March-April,5.9098,31.8,312.7,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Gujarat,Rajkot,Loamy,Sugarcane,October-November,5.9098,40.9,247.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Rajasthan,Jaipur,Alluvial,Coffee,September-October,5.9098,37.1,167.9,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Maharashtra,Nashik,Alluvial,Cotton,March-April,5.9098,20.9,504.0,Potash,Imidacloprid,Furrow Irrigation,Maize
Madhya Pradesh,Jabalpur,Black,Bajra,October-November,5.9098,26.2,821.2,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Gujarat,Ahmedabad,Alluvial,Bajra,October-November,5.9098,21.0,757.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Uttar Pradesh,Lucknow,Red,Wheat,October-November,5.231,27.9,797.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Maharashtra,Pune,Red,Maize,March-April,5.9098,20.9,893.3,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Tamil Nadu,Coimbatore,Laterite,Maize,March-April,5.9098,28.9,944.3,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Punjab,Jalandhar,Alluvial,Jowar,September-October,5.9098,39.7,603.2,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Madhya Pradesh,Jabalpur,Black,Cotton,March-April,5.9098,15.8,716.2,Potash,Imidacloprid,Furrow Irrigation,Soybean
Karnataka,Mysore,Alluvial,Bajra,September-October,5.9098,33.6,1009.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Gujarat,Rajkot,Loamy,Coffee,October-November,5.9098,38.2,455.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Bihar,Gaya,Red,Cotton,March-April,5.9098,27.8,892.6,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Gujarat,Vadodara,Loamy,Cotton,September-October,5.9098,14.3,254.7,Potash,Imidacloprid,Furrow Irrigation,Pulses
Gujarat,Ahmedabad,Black,Bajra,August-September,5.9098,28.7,784.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Rajasthan,Kota,Black,Tea,March-April,5.9098,28.6,362.3,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
Tamil Nadu,Coimbatore,Loamy,Sugarcane,March-April,5.9098,23.8,1175.5,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Gujarat,Ahmedabad,Alluvial,Bajra,December-January,5.9098,33.6,479.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Tamil Nadu,Coimbatore,Loamy,Wheat,September-October,5.231,27.5,1209.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Bihar,Gaya,Black,Jowar,August-September,5.9098,22.2,1080.7,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Punjab,Ludhiana,Alluvial,Jowar,September-October,5.9098,20.1,653.0,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Bihar,Bhagalpur,Laterite,Wheat,August-September,5.231,21.2,700.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Rajasthan,Kota,Red,Pulses,August-September,5.9098,27.0,448.2,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Uttar Pradesh,Lucknow,Sandy,Coffee,October-November,5.9098,14.1,548.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Punjab,Amritsar,Alluvial,Sugarcane,August-September,5.9098,26.3,491.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Gujarat,Ahmedabad,Alluvial,Bajra,October-November,5.9098,30.4,659.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Bihar,Patna,Laterite,Tea,March-April,5.9098,28.1,1262.9,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Madhya Pradesh,Indore,Black,Jowar,August-September,5.9098,38.1,570.6,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Madhya Pradesh,Gwalior,Black,Maize,September-October,5.9098,31.6,830.1,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Karnataka,Bangalore,Loamy,Cotton,March-April,5.9098,34.0,1569.8,Potash,Imidacloprid,Furrow Irrigation,Pulses
Karnataka,Mysore,Black,Jowar,August-September,5.9098,24.9,1261.9,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Madhya Pradesh,Gwalior,Laterite,Rice,December-January,6.6054,24.5,678.3,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Rajasthan,Jodhpur,Alluvial,Bajra,October-November,5.9098,33.5,416.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Karnataka,Hubli,Sandy,Jowar,December-January,5.9098,26.4,1170.4,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Madhya Pradesh,Indore,Black,Jowar,October-November,5.9098,38.4,854.5,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Maharashtra,Nashik,Sandy,Pulses,March-April,5.9098,35.5,858.1,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Maharashtra,Pune,Alluvial,Wheat,December-January,5.231,27.0,733.1,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Uttar Pradesh,Agra,Black,Sugarcane,September-October,5.9098,13.9,485.8,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Rajasthan,Jodhpur,Black,Jowar,September-October,5.9098,38.9,245.1,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Maharashtra,Nagpur,Red,Bajra,September-October,5.9098,34.5,521.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Tamil Nadu,Chennai,Black,Wheat,March-April,5.231,28.3,628.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Gujarat,Ahmedabad,Laterite,Pulses,August-September,5.9098,12.3,637.0,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Punjab,Patiala,Red,Jowar,March-April,5.9098,12.3,639.7,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
West Bengal,Darjeeling,Loamy,Jowar,October-November,5.9098,31.0,1460.8,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Gujarat,Vadodara,Laterite,Wheat,December-January,5.231,23.4,343.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
West Bengal,Kolkata,Alluvial,Sugarcane,March-April,5.9098,26.2,872.3,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Maharashtra,Mumbai,Black,Maize,September-October,5.9098,40.7,882.0,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Uttar Pradesh,Agra,Alluvial,Sugarcane,December-January,5.9098,25.8,917.8,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Gujarat,Vadodara,Laterite,Coffee,August-September,5.9098,33.8,688.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Madhya Pradesh,Bhopal,Alluvial,Pulses,September-October,5.9098,16.4,431.6,Bio-fertilizer,Mancozeb,Traditional Method,Maize
West Bengal,Darjeeling,Sandy,Sugarcane,March-April,5.9098,23.9,1198.3,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Gujarat,Surat,Laterite,Rice,August-September,6.6054,43.2,200.6,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Maharashtra,Mumbai,Sandy,Pulses,October-November,5.9098,28.2,619.2,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Rajasthan,Udaipur,Loamy,Rice,December-January,6.6054,33.4,193.6,DAP,Carbendazim,Terrace Farming,Barley
Maharashtra,Nashik,Red,Bajra,October-November,5.9098,34.6,548.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Bihar,Gaya,Alluvial,Wheat,September-October,5.231,30.7,1231.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Madhya Pradesh,Indore,Red,Jowar,September-October,5.9098,28.3,811.8,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
West Bengal,Howrah,Sandy,Coffee,March-April,5.9098,24.5,1258.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Karnataka,Bangalore,Alluvial,Coffee,March-April,5.9098,26.1,699.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Bihar,Bhagalpur,Red,Tea,August-September,5.9098,16.6,780.9,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Rajasthan,Udaipur,Alluvial,Bajra,March-April,5.9098,33.9,292.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Uttar Pradesh,Lucknow,Loamy,Tea,March-April,5.9098,39.9,961.6,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Madhya Pradesh,Jabalpur,Sandy,Rice,September-October,6.6054,17.4,802.9,DAP,Carbendazim,Terrace Farming,Bajra
Punjab,Ludhiana,Alluvial,Jowar,December-January,5.9098,39.3,499.8,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Punjab,Amritsar,Alluvial,Tea,October-November,5.9098,19.4,416.7,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Punjab,Amritsar,Sandy,Wheat,December-January,5.231,36.8,618.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
West Bengal,Howrah,Alluvial,Bajra,December-January,5.9098,21.9,850.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Uttar Pradesh,Agra,Alluvial,Bajra,August-September,5.9098,12.3,760.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Gujarat,Rajkot,Loamy,Wheat,August-September,5.231,18.0,281.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Karnataka,Mysore,Red,Coffee,August-September,5.9098,31.5,680.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
Punjab,Patiala,Sandy,Coffee,March-April,5.9098,15.1,465.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Maharashtra,Nashik,Alluvial,Rice,September-October,6.6054,16.7,1134.3,DAP,Carbendazim,Terrace Farming,Maize
Punjab,Jalandhar,Alluvial,Bajra,March-April,5.9098,20.6,556.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Uttar Pradesh,Varanasi,Black,Cotton,September-October,5.9098,21.1,693.5,Potash,Imidacloprid,Furrow Irrigation,Soybean
Karnataka,Bangalore,Alluvial,Sugarcane,October-November,5.9098,24.9,899.3,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Bihar,Muzaffarpur,Red,Cotton,October-November,5.9098,35.8,1003.8,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Bihar,Bhagalpur,Alluvial,Tea,September-October,5.9098,31.4,1292.4,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
