State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare),Ymax (kg/hectare),Ky,ETm (mm),ETa (mm)
Karnataka,South,Loamy,Rice,4.03,19.6,179.1,84.8,2.9,7:00 PM - 10:00 PM,9674.7,Furrow Irrigation,Groundnut,Vermicompost,Neem Cake,7854.1,10000.0,1.25,900.0,967.47
Madhya Pradesh,Central,Sandy,Barley,7.06,19.8,133.4,77.0,13.9,5:00 AM - 8:00 AM,2106.0,Furrow Irrigation,Groundnut,MOP,Seaweed Extract,4986.5,,,,210.6
Uttar Pradesh,North,Saline,Cotton,6.88,18.6,219.0,59.4,4.3,4:00 PM - 7:00 PM,2785.7,Furrow Irrigation,Rice,DAP,Neem Cake,4844.8,5000.0,0.85,600.0,278.57
Karnataka,South,Silt,Cotton,4.05,39.0,295.5,51.6,14.5,4:00 PM - 7:00 PM,6579.5,Drip Irrigation,Barley,Biofertilizer,Cow Manure,890.7,5000.0,0.85,600.0,657.95
Gujarat,West,Peaty,Barley,0.53,26.6,155.0,41.7,2.6,7:00 PM - 10:00 PM,4756.2,Surface Irrigation,Rice,MOP,Green Manure,6039.2,,,,475.62
Uttar Pradesh,North,Silt,Maize,2.15,19.6,192.8,78.9,5.7,4:00 PM - 7:00 PM,2594.2,Drip Irrigation,Barley,MOP,Neem Cake,6774.9,12000.0,1.1,500.0,259.41999999999996
Haryana,North,Sandy,Tea,1.89,19.4,227.5,73.0,3.1,7:00 PM - 10:00 PM,7218.8,Sprinkler Irrigation,Soybean,Vermicompost,Bone Meal,6538.3,4000.0,1.05,700.0,721.88
Punjab,North,Loamy,Tea,3.5,25.9,204.6,61.9,5.4,5:00 AM - 8:00 AM,7485.2,Sprinkler Irrigation,Cotton,Urea,Bone Meal,7704.2,4000.0,1.05,700.0,748.52
Haryana,North,Saline,Tea,2.23,27.2,216.3,42.4,14.9,7:00 PM - 10:00 PM,5242.4,Surface Irrigation,Wheat,Biofertilizer,Cow Manure,7392.6,4000.0,1.05,700.0,524.24
Rajasthan,West,Silt,Pulses,3.05,16.2,133.7,74.1,5.8,5:00 AM - 8:00 AM,9093.5,Furrow Irrigation,Rice,Biofertilizer,Bone Meal,4975.7,3000.0,0.75,400.0,909.35
Haryana,North,Clay,Groundnut,9.84,24.3,177.3,74.4,14.7,7:00 PM - 10:00 PM,3355.4,Surface Irrigation,Tea,Biofertilizer,Seaweed Extract,3973.5,,,,335.54
Rajasthan,West,Loamy,Groundnut,8.09,34.1,80.2,57.1,11.8,7:00 PM - 10:00 PM,7983.5,Surface Irrigation,Sugarcane,Vermicompost,Bone Meal,5159.7,,,,798.35
Tamil Nadu,South,Clay,Cotton,4.33,26.9,217.9,84.6,9.2,4:00 PM - 7:00 PM,5047.3,Furrow Irrigation,Sugarcane,Urea,Bone Meal,1376.1,5000.0,0.85,600.0,504.73
Maharashtra,West,Saline,Rice,9.14,16.3,92.5,77.3,12.4,7:00 PM - 10:00 PM,4337.1,Furrow Irrigation,Groundnut,MOP,Green Manure,5442.3,10000.0,1.25,900.0,433.71000000000004
Punjab,North,Clay,Soybean,5.66,31.3,97.8,64.6,11.4,5:00 AM - 8:00 AM,7717.6,Sprinkler Irrigation,Barley,Urea,Cow Manure,7598.6,,,,771.76
Karnataka,South,Saline,Tea,0.97,20.1,197.3,78.3,9.1,4:00 PM - 7:00 PM,3036.9,Sprinkler Irrigation,Rice,Urea,Bone Meal,5540.0,4000.0,1.05,700.0,303.69
Haryana,North,Sandy,Rice,2.84,27.7,257.4,63.9,2.3,5:00 AM - 8:00 AM,7701.4,Surface Irrigation,Barley,Urea,Green Manure,2869.6,10000.0,1.25,900.0,770.14
Punjab,North,Clay,Barley,6.2,32.0,169.2,67.0,14.1,4:00 PM - 7:00 PM,6060.1,Sprinkler Irrigation,Groundnut,Biofertilizer,Neem Cake,4478.9,,,,606.01
Gujarat,West,Peaty,Cotton,1.34,17.4,155.8,89.9,12.3,4:00 PM - 7:00 PM,9960.6,Surface Irrigation,Maize,Vermicompost,Seaweed Extract,1780.1,5000.0,0.85,600.0,996.0600000000001
Karnataka,South,Loamy,Rice,1.25,15.5,288.6,46.3,4.2,4:00 PM - 7:00 PM,3934.3,Surface Irrigation,Groundnut,Compost,Green Manure,6474.5,10000.0,1.25,900.0,393.43
Gujarat,West,Clay,Rice,5.71,39.7,86.3,47.3,11.6,4:00 PM - 7:00 PM,2846.2,Surface Irrigation,Pulses,Compost,Neem Cake,7757.8,10000.0,1.25,900.0,284.62
Gujarat,West,Saline,Barley,4.78,39.3,93.4,89.8,6.1,5:00 AM - 8:00 AM,5539.5,Furrow Irrigation,Barley,Compost,Bone Meal,7999.2,,,,553.95
Uttar Pradesh,North,Loamy,Rice,1.6,34.7,160.9,59.4,10.4,5:00 AM - 8:00 AM,3574.7,Sprinkler Irrigation,Pulses,DAP,Bone Meal,965.3,10000.0,1.25,900.0,357.46999999999997
Tamil Nadu,South,Loamy,Wheat,6.1,19.9,237.5,88.2,14.6,4:00 PM - 7:00 PM,9839.5,Surface Irrigation,Rice,Urea,Bone Meal,1138.4,8000.0,1.15,450.0,983.95
Tamil Nadu,South,Sandy,Soybean,7.03,37.1,102.1,65.1,10.7,4:00 PM - 7:00 PM,6584.6,Surface Irrigation,Groundnut,Compost,Seaweed Extract,6359.6,,,,658.46
Punjab,North,Saline,Barley,5.17,17.2,170.0,90.0,14.1,7:00 PM - 10:00 PM,5949.9,Surface Irrigation,Soybean,Urea,Bone Meal,1186.0,,,,594.99
Haryana,North,Peaty,Tea,4.68,18.8,194.9,45.2,7.5,7:00 PM - 10:00 PM,1464.6,Drip Irrigation,Wheat,Urea,Neem Cake,1215.4,4000.0,1.05,700.0,146.45999999999998
West Bengal,East,Clay,Cotton,9.63,19.7,177.1,80.2,5.0,4:00 PM - 7:00 PM,6504.5,Sprinkler Irrigation,Barley,Biofertilizer,Neem Cake,2939.1,5000.0,0.85,600.0,650.45
Gujarat,West,Peaty,Cotton,8.39,30.3,102.4,43.3,2.3,7:00 PM - 10:00 PM,4105.2,Sprinkler Irrigation,Wheat,MOP,Seaweed Extract,5958.1,5000.0,0.85,600.0,410.52
West Bengal,East,Clay,Cotton,5.57,15.6,211.5,72.6,14.8,7:00 PM - 10:00 PM,4425.9,Drip Irrigation,Soybean,Vermicompost,Bone Meal,7255.5,5000.0,0.85,600.0,442.59
Punjab,North,Clay,Barley,1.31,32.2,129.7,45.0,5.5,5:00 AM - 8:00 AM,7558.9,Sprinkler Irrigation,Sugarcane,MOP,Seaweed Extract,7220.2,,,,755.89
West Bengal,East,Clay,Wheat,1.98,32.8,262.7,70.1,7.6,5:00 AM - 8:00 AM,7171.4,Surface Irrigation,Barley,MOP,Green Manure,740.9,8000.0,1.15,450.0,717.14
Rajasthan,West,Silt,Rice,6.62,36.8,266.4,87.5,5.7,7:00 PM - 10:00 PM,7448.9,Surface Irrigation,Soybean,Biofertilizer,Bone Meal,4958.0,10000.0,1.25,900.0,744.89
Punjab,North,Loamy,Groundnut,1.92,23.9,224.4,68.6,3.8,5:00 AM - 8:00 AM,4903.0,Sprinkler Irrigation,Barley,Vermicompost,Green Manure,1568.8,,,,490.3
Karnataka,South,Sandy,Sugarcane,0.89,18.2,101.1,54.3,6.0,4:00 PM - 7:00 PM,2679.5,Sprinkler Irrigation,Rice,Compost,Green Manure,6794.6,120000.0,1.3,1500.0,267.95
Punjab,North,Saline,Soybean,5.08,26.0,283.7,72.7,12.3,7:00 PM - 10:00 PM,8128.9,Sprinkler Irrigation,Groundnut,Vermicompost,Cow Manure,3116.7,,,,812.89
Haryana,North,Peaty,Barley,4.35,27.5,245.6,50.4,5.2,5:00 AM - 8:00 AM,4520.0,Sprinkler Irrigation,Tea,MOP,Neem Cake,5421.9,,,,452.0
Karnataka,South,Saline,Barley,8.23,39.4,54.8,52.0,13.7,5:00 AM - 8:00 AM,3134.2,Furrow Irrigation,Rice,DAP,Cow Manure,4318.1,,,,313.41999999999996
Rajasthan,West,Silt,Sugarcane,3.83,23.8,265.6,70.0,11.6,7:00 PM - 10:00 PM,9254.0,Drip Irrigation,Sugarcane,Urea,Cow Manure,2859.5,120000.0,1.3,1500.0,925.4
Rajasthan,West,Loamy,Soybean,8.17,32.4,87.8,40.3,5.6,5:00 AM - 8:00 AM,2284.3,Sprinkler Irrigation,Barley,Compost,Seaweed Extract,4243.1,,,,228.43
Uttar Pradesh,North,Sandy,Pulses,9.65,21.3,187.8,67.3,10.4,4:00 PM - 7:00 PM,5202.5,Drip Irrigation,Maize,Compost,Neem Cake,3215.4,3000.0,0.75,400.0,520.25
West Bengal,East,Silt,Soybean,8.55,20.5,207.0,84.8,12.3,5:00 AM - 8:00 AM,5757.7,Sprinkler Irrigation,Tea,Vermicompost,Seaweed Extract,4984.1,,,,575.77
Madhya Pradesh,Central,Clay,Wheat,3.78,22.3,81.0,56.6,2.9,4:00 PM - 7:00 PM,9593.7,Drip Irrigation,Tea,Biofertilizer,Bone Meal,2813.6,8000.0,1.15,450.0,959.3700000000001
Karnataka,South,Silt,Sugarcane,4.72,22.9,184.8,50.3,7.9,4:00 PM - 7:00 PM,5104.1,Surface Irrigation,Maize,Biofertilizer,Cow Manure,7811.4,120000.0,1.3,1500.0,510.41
Rajasthan,West,Peaty,Wheat,6.16,15.7,277.9,82.1,7.2,4:00 PM - 7:00 PM,6760.1,Drip Irrigation,Cotton,MOP,Green Manure,4582.7,8000.0,1.15,450.0,676.01
Rajasthan,West,Clay,Maize,7.81,30.4,225.1,58.2,6.1,5:00 AM - 8:00 AM,3505.6,Sprinkler Irrigation,Barley,Compost,Neem Cake,521.2,12000.0,1.1,500.0,350.56
Punjab,North,Loamy,Barley,8.48,33.9,140.6,88.8,3.7,5:00 AM - 8:00 AM,5936.2,Surface Irrigation,Groundnut,Biofertilizer,Bone Meal,5117.0,,,,593.62
Maharashtra,West,Clay,Groundnut,4.77,30.1,70.1,81.9,7.0,5:00 AM - 8:00 AM,6408.2,Drip Irrigation,Groundnut,DAP,Neem Cake,5990.8,,,,640.8199999999999
Rajasthan,West,Peaty,Pulses,4.85,18.0,293.6,79.0,3.1,7:00 PM - 10:00 PM,8856.7,Surface Irrigation,Tea,Biofertilizer,Cow Manure,5053.2,3000.0,0.75,400.0,885.6700000000001
Karnataka,South,Silt,Groundnut,8.34,18.1,208.9,65.8,8.6,5:00 AM - 8:00 AM,3128.8,Furrow Irrigation,Groundnut,Biofertilizer,Neem Cake,7201.7,,,,312.88
Haryana,North,Loamy,Tea,4.38,17.9,253.6,45.2,5.9,7:00 PM - 10:00 PM,2623.2,Surface Irrigation,Cotton,DAP,Seaweed Extract,7928.6,4000.0,1.05,700.0,262.32
Punjab,North,Silt,Cotton,6.35,15.6,194.6,46.0,4.4,5:00 AM - 8:00 AM,8520.2,Drip Irrigation,Soybean,MOP,Cow Manure,6387.5,5000.0,0.85,600.0,852.0200000000001
Maharashtra,West,Loamy,Cotton,9.72,37.2,117.0,74.4,5.3,4:00 PM - 7:00 PM,2335.8,Sprinkler Irrigation,Maize,Biofertilizer,Cow Manure,4813.2,5000.0,0.85,600.0,233.58
Tamil Nadu,South,Silt,Sugarcane,3.72,26.6,275.7,62.2,8.2,7:00 PM - 10:00 PM,5202.7,Sprinkler Irrigation,Tea,Urea,Green Manure,3029.2,120000.0,1.3,1500.0,520.27
Punjab,North,Saline,Barley,8.33,39.2,287.9,64.3,8.1,7:00 PM - 10:00 PM,4887.1,Surface Irrigation,Cotton,Urea,Neem Cake,6215.6,,,,488.71000000000004
Tamil Nadu,South,Peaty,Barley,1.86,23.6,127.9,82.6,13.8,4:00 PM - 7:00 PM,9482.4,Sprinkler Irrigation,Soybean,MOP,Bone Meal,2248.5,,,,948.24
Punjab,North,Clay,Groundnut,2.21,29.9,211.3,87.4,6.2,4:00 PM - 7:00 PM,7374.6,Furrow Irrigation,Soybean,MOP,Bone Meal,4473.5,,,,737.46
Punjab,North,Saline,Tea,4.36,30.6,234.6,46.7,5.6,4:00 PM - 7:00 PM,5845.7,Sprinkler Irrigation,Groundnut,Urea,Cow Manure,7208.1,4000.0,1.05,700.0,584.5699999999999
West Bengal,East,Sandy,Soybean,2.7,32.4,188.0,80.2,4.3,7:00 PM - 10:00 PM,8550.2,Drip Irrigation,Wheat,Vermicompost,Green Manure,3626.8,,,,855.0200000000001
Madhya Pradesh,Central,Saline,Groundnut,5.15,30.0,268.2,47.2,6.0,5:00 AM - 8:00 AM,4497.9,Surface Irrigation,Soybean,MOP,Neem Cake,4568.1,,,,449.78999999999996
Karnataka,South,Silt,Sugarcane,9.91,33.2,117.0,83.5,6.8,5:00 AM - 8:00 AM,6667.8,Sprinkler Irrigation,Sugarcane,Compost,Seaweed Extract,6449.5,120000.0,1.3,1500.0,666.78
Karnataka,South,Clay,Pulses,9.2,31.1,174.1,42.6,2.2,4:00 PM - 7:00 PM,4996.1,Drip Irrigation,Groundnut,DAP,Seaweed Extract,2919.1,3000.0,0.75,400.0,499.61
Maharashtra,West,Silt,Cotton,0.9,31.6,85.8,45.0,6.7,7:00 PM - 10:00 PM,4628.9,Sprinkler Irrigation,Tea,Urea,Neem Cake,1660.9,5000.0,0.85,600.0,462.89
Karnataka,South,Sandy,Soybean,2.36,23.1,91.1,88.6,14.4,4:00 PM - 7:00 PM,6451.9,Surface Irrigation,Tea,Compost,Cow Manure,5969.2,,,,645.1899999999999
Haryana,North,Peaty,Wheat,2.33,28.5,117.0,82.2,13.4,7:00 PM - 10:00 PM,4249.5,Surface Irrigation,Pulses,Urea,Green Manure,6827.8,8000.0,1.15,450.0,424.95
Madhya Pradesh,Central,Loamy,Soybean,9.86,32.0,134.4,40.4,9.1,4:00 PM - 7:00 PM,8269.9,Furrow Irrigation,Tea,Compost,Cow Manure,710.8,,,,826.99
Haryana,North,Clay,Groundnut,4.78,21.0,287.8,54.0,3.5,7:00 PM - 10:00 PM,1749.2,Sprinkler Irrigation,Soybean,Compost,Bone Meal,1300.9,,,,174.92000000000002
Haryana,North,Sandy,Barley,1.04,23.4,256.1,67.4,12.6,4:00 PM - 7:00 PM,4492.1,Furrow Irrigation,Rice,Compost,Seaweed Extract,3108.4,,,,449.21000000000004
West Bengal,East,Loamy,Groundnut,7.72,32.1,144.2,40.7,2.9,4:00 PM - 7:00 PM,4970.1,Sprinkler Irrigation,Tea,DAP,Seaweed Extract,3085.4,,,,497.01000000000005
Rajasthan,West,Clay,Rice,5.29,38.4,219.6,45.1,12.4,5:00 AM - 8:00 AM,7494.7,Furrow Irrigation,Rice,Biofertilizer,Bone Meal,7022.4,10000.0,1.25,900.0,749.47
West Bengal,East,Peaty,Groundnut,4.85,29.9,263.7,50.1,10.2,5:00 AM - 8:00 AM,3569.8,Sprinkler Irrigation,Sugarcane,Vermicompost,Neem Cake,5312.8,,,,356.98
Gujarat,West,Clay,Rice,1.07,39.9,211.3,57.6,14.9,5:00 AM - 8:00 AM,1338.7,Furrow Irrigation,Pulses,Biofertilizer,Cow Manure,4035.4,10000.0,1.25,900.0,133.87
Punjab,North,Silt,Groundnut,4.71,18.4,192.4,69.9,9.4,7:00 PM - 10:00 PM,2455.8,Furrow Irrigation,Groundnut,Compost,Cow Manure,6316.0,,,,245.58
Tamil Nadu,South,Silt,Pulses,1.04,38.1,267.8,42.2,3.8,5:00 AM - 8:00 AM,7347.2,Surface Irrigation,Groundnut,Compost,Cow Manure,2142.3,3000.0,0.75,400.0,734.72
Karnataka,South,Saline,Sugarcane,3.43,23.8,182.6,59.1,13.8,7:00 PM - 10:00 PM,2209.5,Furrow Irrigation,Groundnut,Vermicompost,Bone Meal,1092.8,120000.0,1.3,1500.0,220.95
Karnataka,South,Sandy,Cotton,2.6,29.7,205.6,82.5,5.8,5:00 AM - 8:00 AM,8513.8,Sprinkler Irrigation,Cotton,DAP,Neem Cake,5638.7,5000.0,0.85,600.0,851.3799999999999
Punjab,North,Loamy,Maize,4.47,37.9,72.3,63.4,8.4,4:00 PM - 7:00 PM,2957.7,Drip Irrigation,Barley,MOP,Neem Cake,6623.7,12000.0,1.1,500.0,295.77
West Bengal,East,Silt,Rice,1.96,36.7,274.8,42.5,13.1,5:00 AM - 8:00 AM,5596.3,Furrow Irrigation,Cotton,Compost,Neem Cake,7694.2,10000.0,1.25,900.0,559.63
West Bengal,East,Saline,Barley,6.23,24.9,252.6,71.6,3.6,5:00 AM - 8:00 AM,8479.3,Sprinkler Irrigation,Wheat,Biofertilizer,Neem Cake,6440.0,,,,847.93
West Bengal,East,Clay,Groundnut,8.28,21.7,88.8,56.5,6.2,7:00 PM - 10:00 PM,5478.5,Drip Irrigation,Soybean,MOP,Neem Cake,3659.8,,,,547.85
Gujarat,West,Silt,Soybean,3.41,32.5,61.5,84.9,10.6,7:00 PM - 10:00 PM,8063.5,Furrow Irrigation,Tea,Urea,Seaweed Extract,2638.9,,,,806.35
Tamil Nadu,South,Peaty,Maize,1.47,22.9,145.0,41.8,8.6,4:00 PM - 7:00 PM,9734.4,Furrow Irrigation,Maize,Urea,Cow Manure,2800.0,12000.0,1.1,500.0,973.4399999999999
Punjab,North,Clay,Soybean,7.98,31.9,222.9,42.9,7.5,7:00 PM - 10:00 PM,5952.3,Drip Irrigation,Tea,Urea,Cow Manure,3782.5,,,,595.23
West Bengal,East,Silt,Tea,2.96,32.3,259.0,59.9,5.2,4:00 PM - 7:00 PM,1556.3,Surface Irrigation,Maize,Urea,Neem Cake,6136.7,4000.0,1.05,700.0,155.63
Haryana,North,Clay,Maize,6.05,37.7,175.9,74.0,10.1,7:00 PM - 10:00 PM,7358.2,Drip Irrigation,Rice,Biofertilizer,Green Manure,4058.9,12000.0,1.1,500.0,735.8199999999999
Maharashtra,West,Peaty,Pulses,1.06,34.0,292.1,60.2,11.6,4:00 PM - 7:00 PM,3786.3,Surface Irrigation,Rice,Compost,Bone Meal,860.1,3000.0,0.75,400.0,378.63
Rajasthan,West,Sandy,Rice,8.76,22.7,156.7,78.7,4.5,4:00 PM - 7:00 PM,9499.7,Surface Irrigation,Rice,DAP,Green Manure,2970.9,10000.0,1.25,900.0,949.97
West Bengal,East,Peaty,Maize,4.03,18.7,177.1,58.3,5.0,4:00 PM - 7:00 PM,9306.4,Drip Irrigation,Soybean,DAP,Neem Cake,2121.9,12000.0,1.1,500.0,930.64
Tamil Nadu,South,Loamy,Cotton,6.38,24.7,69.8,47.3,14.3,7:00 PM - 10:00 PM,2227.1,Drip Irrigation,Groundnut,DAP,Cow Manure,2072.6,5000.0,0.85,600.0,222.70999999999998
Rajasthan,West,Saline,Cotton,1.96,27.2,252.4,46.9,2.9,7:00 PM - 10:00 PM,9015.5,Furrow Irrigation,Groundnut,DAP,Seaweed Extract,6192.1,5000.0,0.85,600.0,901.55
Punjab,North,Sandy,Barley,2.46,18.5,143.3,67.0,10.7,4:00 PM - 7:00 PM,4958.3,Furrow Irrigation,Wheat,Vermicompost,Bone Meal,4188.3,,,,495.83000000000004
Haryana,North,Peaty,Rice,1.77,20.8,140.7,76.7,6.3,4:00 PM - 7:00 PM,4515.8,Surface Irrigation,Soybean,Urea,Green Manure,4328.8,10000.0,1.25,900.0,451.58000000000004
Uttar Pradesh,North,Clay,Maize,2.06,38.1,261.0,57.3,11.5,7:00 PM - 10:00 PM,7549.8,Furrow Irrigation,Barley,MOP,Neem Cake,3511.4,12000.0,1.1,500.0,754.98
Uttar Pradesh,North,Peaty,Wheat,9.67,27.0,159.9,86.7,14.8,5:00 AM - 8:00 AM,6306.3,Sprinkler Irrigation,Soybean,Biofertilizer,Cow Manure,7090.8,8000.0,1.15,450.0,630.63
Maharashtra,West,Silt,Groundnut,4.37,22.3,283.4,76.0,9.8,7:00 PM - 10:00 PM,6297.3,Drip Irrigation,Barley,DAP,Seaweed Extract,3999.1,,,,629.73
Punjab,North,Saline,Pulses,1.94,37.5,171.7,43.6,10.9,4:00 PM - 7:00 PM,9265.1,Surface Irrigation,Wheat,Urea,Cow Manure,7576.8,3000.0,0.75,400.0,926.51
Haryana,North,Saline,Sugarcane,4.97,34.6,54.5,73.9,8.9,4:00 PM - 7:00 PM,6006.1,Drip Irrigation,Barley,Biofertilizer,Cow Manure,6242.0,120000.0,1.3,1500.0,600.61
Karnataka,South,Loamy,Pulses,9.61,22.9,254.0,69.8,2.6,4:00 PM - 7:00 PM,3397.6,Furrow Irrigation,Maize,Compost,Bone Meal,626.0,3000.0,0.75,400.0,339.76
Madhya Pradesh,Central,Peaty,Sugarcane,2.37,30.0,91.1,47.2,3.9,5:00 AM - 8:00 AM,6615.9,Drip Irrigation,Tea,Biofertilizer,Seaweed Extract,3808.0,120000.0,1.3,1500.0,661.5899999999999
Punjab,North,Loamy,Barley,9.19,24.4,71.4,56.6,13.1,5:00 AM - 8:00 AM,2975.9,Sprinkler Irrigation,Rice,Compost,Seaweed Extract,7921.8,,,,297.59000000000003
Maharashtra,West,Loamy,Pulses,6.49,24.2,283.7,85.0,4.4,5:00 AM - 8:00 AM,9028.2,Sprinkler Irrigation,Barley,MOP,Green Manure,6966.0,3000.0,0.75,400.0,902.82
Madhya Pradesh,Central,Sandy,Pulses,1.0,25.8,203.8,79.6,10.4,5:00 AM - 8:00 AM,1170.1,Furrow Irrigation,Pulses,Biofertilizer,Neem Cake,4013.8,3000.0,0.75,400.0,117.00999999999999
Tamil Nadu,South,Silt,Cotton,0.77,28.3,61.5,77.6,12.0,4:00 PM - 7:00 PM,4843.6,Drip Irrigation,Sugarcane,MOP,Green Manure,7567.9,5000.0,0.85,600.0,484.36
Karnataka,South,Saline,Soybean,2.22,27.2,260.8,79.6,13.6,4:00 PM - 7:00 PM,4505.7,Sprinkler Irrigation,Wheat,Vermicompost,Bone Meal,2636.4,,,,450.57
Maharashtra,West,Silt,Maize,3.43,25.1,194.2,61.5,3.1,7:00 PM - 10:00 PM,5395.1,Sprinkler Irrigation,Groundnut,Urea,Neem Cake,7020.7,12000.0,1.1,500.0,539.51
Rajasthan,West,Clay,Soybean,1.51,19.2,63.6,65.1,3.0,5:00 AM - 8:00 AM,4040.7,Furrow Irrigation,Sugarcane,MOP,Bone Meal,887.8,,,,404.07
Gujarat,West,Silt,Rice,5.62,23.7,288.7,69.8,7.2,4:00 PM - 7:00 PM,9176.9,Surface Irrigation,Pulses,Urea,Bone Meal,6395.4,10000.0,1.25,900.0,917.6899999999999
Gujarat,West,Peaty,Cotton,5.38,38.6,136.5,44.3,11.6,5:00 AM - 8:00 AM,2255.0,Furrow Irrigation,Wheat,Biofertilizer,Green Manure,4189.9,5000.0,0.85,600.0,225.5
Maharashtra,West,Silt,Cotton,4.21,36.4,154.0,78.9,2.9,4:00 PM - 7:00 PM,7826.4,Drip Irrigation,Sugarcane,Vermicompost,Neem Cake,3478.1,5000.0,0.85,600.0,782.64
Madhya Pradesh,Central,Loamy,Tea,5.11,27.9,212.8,49.8,4.0,7:00 PM - 10:00 PM,6051.8,Furrow Irrigation,Barley,Vermicompost,Green Manure,7612.7,4000.0,1.05,700.0,605.1800000000001
Maharashtra,West,Saline,Maize,8.97,15.4,116.5,57.4,3.1,5:00 AM - 8:00 AM,5428.3,Sprinkler Irrigation,Pulses,Vermicompost,Cow Manure,5726.8,12000.0,1.1,500.0,542.83
Maharashtra,West,Sandy,Pulses,5.44,33.4,293.9,44.1,4.1,4:00 PM - 7:00 PM,9830.4,Sprinkler Irrigation,Rice,DAP,Seaweed Extract,5869.1,3000.0,0.75,400.0,983.04
Madhya Pradesh,Central,Saline,Pulses,3.44,25.5,165.9,87.0,8.3,5:00 AM - 8:00 AM,5733.7,Drip Irrigation,Rice,Urea,Cow Manure,4519.6,3000.0,0.75,400.0,573.37
Haryana,North,Sandy,Cotton,3.87,34.3,79.1,45.4,10.3,7:00 PM - 10:00 PM,8858.6,Furrow Irrigation,Rice,Biofertilizer,Green Manure,5025.1,5000.0,0.85,600.0,885.86
Gujarat,West,Loamy,Maize,7.2,19.5,162.8,48.3,12.1,4:00 PM - 7:00 PM,3450.2,Drip Irrigation,Cotton,MOP,Neem Cake,1110.0,12000.0,1.1,500.0,345.02
Tamil Nadu,South,Silt,Tea,2.26,29.2,107.7,61.3,10.7,5:00 AM - 8:00 AM,1138.6,Surface Irrigation,Maize,Vermicompost,Seaweed Extract,7743.6,4000.0,1.05,700.0,113.85999999999999
Gujarat,West,Saline,Cotton,4.65,35.8,76.7,41.3,8.2,4:00 PM - 7:00 PM,3812.5,Drip Irrigation,Cotton,Compost,Seaweed Extract,926.0,5000.0,0.85,600.0,381.25
West Bengal,East,Clay,Cotton,6.03,25.1,84.3,78.7,11.1,5:00 AM - 8:00 AM,3288.8,Surface Irrigation,Groundnut,MOP,Green Manure,6475.6,5000.0,0.85,600.0,328.88
West Bengal,East,Sandy,Soybean,3.83,18.5,51.6,66.2,3.3,4:00 PM - 7:00 PM,6277.0,Sprinkler Irrigation,Rice,DAP,Bone Meal,5197.0,,,,627.7
Madhya Pradesh,Central,Clay,Rice,3.53,16.0,253.7,61.4,7.8,7:00 PM - 10:00 PM,7567.0,Furrow Irrigation,Groundnut,Vermicompost,Cow Manure,3795.1,10000.0,1.25,900.0,756.7
Karnataka,South,Peaty,Groundnut,2.6,30.7,256.7,80.1,14.2,7:00 PM - 10:00 PM,3086.0,Furrow Irrigation,Groundnut,Urea,Seaweed Extract,2222.5,,,,308.6
Haryana,North,Peaty,Groundnut,3.86,20.5,88.4,88.0,3.5,5:00 AM - 8:00 AM,5201.7,Drip Irrigation,Rice,Biofertilizer,Seaweed Extract,4034.4,,,,520.17
Tamil Nadu,South,Sandy,Pulses,0.74,21.2,275.2,59.8,4.7,7:00 PM - 10:00 PM,8635.3,Drip Irrigation,Wheat,Vermicompost,Cow Manure,2076.4,3000.0,0.75,400.0,863.53
Tamil Nadu,South,Peaty,Wheat,3.1,34.6,224.4,51.0,5.2,5:00 AM - 8:00 AM,4428.1,Sprinkler Irrigation,Maize,Biofertilizer,Cow Manure,3979.9,8000.0,1.15,450.0,442.81000000000006
West Bengal,East,Loamy,Cotton,3.48,23.9,257.5,78.4,11.4,7:00 PM - 10:00 PM,3784.8,Surface Irrigation,Pulses,Vermicompost,Bone Meal,1830.7,5000.0,0.85,600.0,378.48
Madhya Pradesh,Central,Loamy,Maize,2.37,27.4,65.4,77.7,2.8,7:00 PM - 10:00 PM,5111.7,Furrow Irrigation,Soybean,MOP,Seaweed Extract,2531.1,12000.0,1.1,500.0,511.16999999999996
Haryana,North,Saline,Tea,3.87,15.9,165.1,76.4,6.5,7:00 PM - 10:00 PM,2750.3,Furrow Irrigation,Rice,Biofertilizer,Green Manure,1066.6,4000.0,1.05,700.0,275.03000000000003
Madhya Pradesh,Central,Clay,Soybean,9.34,29.9,243.4,40.6,9.0,5:00 AM - 8:00 AM,3896.5,Furrow Irrigation,Maize,Vermicompost,Cow Manure,7238.9,,,,389.65
West Bengal,East,Loamy,Pulses,0.61,21.3,118.7,89.7,5.3,4:00 PM - 7:00 PM,3760.7,Furrow Irrigation,Sugarcane,Compost,Cow Manure,6210.7,3000.0,0.75,400.0,376.07
West Bengal,East,Silt,Groundnut,8.42,19.6,297.0,60.9,9.4,7:00 PM - 10:00 PM,6007.5,Furrow Irrigation,Groundnut,Biofertilizer,Neem Cake,7437.2,,,,600.75
West Bengal,East,Peaty,Groundnut,9.09,35.7,178.4,43.8,12.9,5:00 AM - 8:00 AM,8833.6,Sprinkler Irrigation,Cotton,Biofertilizer,Green Manure,3457.4,,,,883.36
