State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare)
Haryana,Chennai,Clay,Sugarcane,1.18,35.6,204.5,65.8,7.1,Evening,7310.6,Sprinkler Irrigation,Sugarcane,DAP,Cow Manure,2491.7
West Bengal,Jaipur,Peaty,Cotton,2.07,23.9,102.2,84.4,8.6,Evening,7853.2,Drip Irrigation,Pulses,DAP,Seaweed Extract,3900.2
Karnataka,Chennai,Clay,Maize,9.95,24.6,220.7,50.8,4.6,Night,8684.8,Furrow Irrigation,Groundnut,Vermicompost,Neem Cake,7012.6
Madhya Pradesh,Bhopal,Clay,Sugarcane,7.42,39.0,135.6,51.4,15.0,Evening,1842.9,Sprinkler Irrigation,Barley,MOP,Neem Cake,3931.2
Gujarat,Bangalore,Saline,Tea,7.37,22.7,261.0,81.9,2.9,Night,2479.5,Drip Irrigation,Wheat,MOP,Neem Cake,5010.6
Maharashtra,Jaipur,Saline,Sugarcane,6.97,22.1,281.0,48.1,12.1,Night,5841.6,Drip Irrigation,Sugarcane,MOP,Cow Manure,6404.2
Tamil Nadu,Lucknow,Clay,Maize,8.79,27.7,105.0,87.9,12.9,Morning,6988.5,Surface Irrigation,Wheat,Vermicompost,Cow Manure,7750.9
Punjab,Bangalore,Sandy,Pulses,9.58,39.4,228.5,76.9,10.0,Night,3295.7,Surface Irrigation,Maize,DAP,Cow Manure,7670.9
Tamil Nadu,Jaipur,Clay,Maize,3.52,17.9,249.8,68.6,14.4,Morning,7771.7,Sprinkler Irrigation,Sugarcane,DAP,Neem Cake,3847.5
Karnataka,Pune,Clay,Groundnut,9.84,16.3,210.3,88.0,14.7,Evening,5927.7,Sprinkler Irrigation,Tea,Compost,Neem Cake,6100.7
Haryana,Lucknow,Loamy,Groundnut,4.47,23.0,89.4,47.6,14.4,Night,1095.5,Sprinkler Irrigation,Maize,DAP,Seaweed Extract,7005.7
Haryana,Chennai,Sandy,Pulses,2.24,38.5,233.5,46.5,2.6,Night,3654.8,Sprinkler Irrigation,Groundnut,DAP,Bone Meal,6507.1
Haryana,Rohtak,Loamy,Cotton,6.73,15.7,128.0,48.4,13.2,Night,4947.2,Drip Irrigation,Pulses,Compost,Seaweed Extract,1653.0
Maharashtra,Pune,Silt,Cotton,9.59,31.5,287.2,80.6,8.7,Morning,5251.6,Sprinkler Irrigation,Wheat,Biofertilizer,Bone Meal,7295.0
Punjab,Ahmedabad,Silt,Cotton,6.94,22.6,183.9,57.5,6.5,Morning,6817.3,Surface Irrigation,Cotton,Compost,Cow Manure,7540.3
Uttar Pradesh,Kolkata,Saline,Groundnut,0.62,24.1,276.5,85.3,8.9,Morning,2617.6,Sprinkler Irrigation,Groundnut,Vermicompost,Green Manure,4417.8
West Bengal,Bhopal,Clay,Groundnut,4.79,37.1,115.8,52.2,8.2,Night,4197.0,Sprinkler Irrigation,Cotton,Urea,Neem Cake,4248.8
Rajasthan,Ahmedabad,Clay,Maize,9.4,34.0,255.9,47.0,8.8,Night,5120.3,Furrow Irrigation,Cotton,Vermicompost,Green Manure,3706.6
Uttar Pradesh,Ludhiana,Silt,Maize,1.03,31.9,263.9,58.2,11.6,Night,7906.5,Surface Irrigation,Maize,Biofertilizer,Cow Manure,1423.5
Haryana,Kolkata,Silt,Rice,5.38,19.2,282.0,55.1,6.0,Night,7966.5,Furrow Irrigation,Groundnut,Compost,Seaweed Extract,3032.8
Punjab,Pune,Silt,Barley,6.33,18.6,212.1,53.5,12.5,Morning,6496.6,Furrow Irrigation,Soybean,Urea,Cow Manure,4009.9
Haryana,Rohtak,Silt,Groundnut,6.84,26.2,83.4,61.5,12.9,Night,1083.2,Sprinkler Irrigation,Soybean,Biofertilizer,Seaweed Extract,2670.5
Madhya Pradesh,Chennai,Silt,Wheat,1.32,18.2,168.9,58.0,9.6,Night,4126.2,Drip Irrigation,Cotton,Biofertilizer,Seaweed Extract,5472.2
Karnataka,Chennai,Sandy,Maize,7.92,29.6,206.7,51.5,9.9,Morning,4240.2,Surface Irrigation,Pulses,MOP,Green Manure,4256.6
Maharashtra,Kolkata,Saline,Wheat,3.69,35.3,143.1,88.6,15.0,Evening,4342.9,Surface Irrigation,Pulses,DAP,Bone Meal,2185.2
Gujarat,Jaipur,Saline,Cotton,3.86,24.9,66.4,68.9,12.4,Night,6151.6,Furrow Irrigation,Tea,Vermicompost,Bone Meal,7550.5
Uttar Pradesh,Jaipur,Sandy,Pulses,7.23,23.3,202.1,45.1,7.4,Night,2597.2,Drip Irrigation,Sugarcane,Compost,Seaweed Extract,5781.6
Punjab,Ahmedabad,Peaty,Cotton,2.95,31.6,280.7,52.8,8.0,Evening,1899.2,Drip Irrigation,Rice,Compost,Cow Manure,3503.8
Rajasthan,Lucknow,Loamy,Soybean,2.36,17.1,257.6,55.0,11.6,Evening,6217.1,Sprinkler Irrigation,Pulses,Urea,Seaweed Extract,4240.1
Madhya Pradesh,Lucknow,Silt,Maize,9.74,20.8,177.4,80.2,11.0,Night,8822.6,Drip Irrigation,Wheat,Biofertilizer,Green Manure,3901.2
Tamil Nadu,Ahmedabad,Clay,Sugarcane,5.96,16.2,219.2,74.5,8.4,Morning,4514.7,Furrow Irrigation,Groundnut,MOP,Green Manure,6566.0
Maharashtra,Lucknow,Clay,Pulses,2.31,27.0,102.1,82.4,2.3,Evening,1462.7,Furrow Irrigation,Cotton,MOP,Neem Cake,7264.1
Haryana,Rohtak,Loamy,Cotton,4.53,27.7,125.6,62.7,2.1,Morning,3018.3,Sprinkler Irrigation,Cotton,Compost,Green Manure,751.6
Uttar Pradesh,Ahmedabad,Clay,Tea,0.86,39.8,155.7,51.2,12.4,Morning,8402.9,Furrow Irrigation,Barley,MOP,Cow Manure,7085.8
Uttar Pradesh,Pune,Silt,Groundnut,5.72,38.5,68.4,83.3,6.4,Evening,5108.9,Sprinkler Irrigation,Tea,Biofertilizer,Bone Meal,3908.2
Maharashtra,Lucknow,Clay,Tea,5.17,24.6,126.5,85.0,5.0,Night,3655.7,Drip Irrigation,Groundnut,MOP,Neem Cake,819.2
Tamil Nadu,Ahmedabad,Clay,Cotton,4.5,33.3,73.3,73.7,6.5,Night,5320.2,Surface Irrigation,Cotton,Compost,Seaweed Extract,2137.6
Rajasthan,Rohtak,Clay,Cotton,4.42,17.6,69.1,60.9,11.8,Morning,4490.5,Sprinkler Irrigation,Wheat,DAP,Bone Meal,2477.0
West Bengal,Ahmedabad,Saline,Soybean,1.93,25.5,107.9,73.6,14.8,Evening,8882.2,Furrow Irrigation,Soybean,DAP,Cow Manure,4610.3
Haryana,Chennai,Clay,Pulses,6.11,29.1,168.9,44.9,12.6,Morning,6368.0,Drip Irrigation,Wheat,Compost,Seaweed Extract,7375.8
Uttar Pradesh,Ludhiana,Silt,Barley,6.3,23.8,225.3,86.6,6.1,Evening,5679.4,Surface Irrigation,Tea,Compost,Neem Cake,7455.5
Tamil Nadu,Ludhiana,Saline,Soybean,3.28,29.8,180.5,76.3,6.4,Night,9309.8,Surface Irrigation,Sugarcane,Compost,Neem Cake,6203.1
Madhya Pradesh,Chennai,Peaty,Pulses,2.8,37.1,269.1,45.6,13.0,Morning,7085.5,Surface Irrigation,Rice,Vermicompost,Cow Manure,1023.6
Madhya Pradesh,Bhopal,Clay,Cotton,9.51,34.4,297.6,50.7,7.6,Night,6794.7,Sprinkler Irrigation,Maize,Urea,Green Manure,1875.8
Punjab,Chennai,Loamy,Cotton,4.32,28.3,166.0,45.9,11.3,Night,4667.4,Drip Irrigation,Sugarcane,DAP,Green Manure,5525.2
West Bengal,Bangalore,Silt,Sugarcane,8.98,28.2,185.7,83.8,5.6,Night,9781.5,Sprinkler Irrigation,Maize,Vermicompost,Cow Manure,3812.7
Maharashtra,Bangalore,Peaty,Maize,5.61,38.6,207.7,89.3,6.8,Evening,5848.5,Drip Irrigation,Groundnut,MOP,Bone Meal,547.5
Maharashtra,Kolkata,Clay,Groundnut,7.22,39.6,76.7,74.5,7.3,Morning,4186.4,Drip Irrigation,Cotton,Vermicompost,Seaweed Extract,3112.6
Haryana,Jaipur,Sandy,Barley,4.15,30.0,205.2,62.7,10.4,Night,6040.9,Furrow Irrigation,Cotton,Vermicompost,Bone Meal,4673.2
Gujarat,Rohtak,Silt,Sugarcane,9.37,27.0,57.6,82.1,12.1,Night,2786.3,Drip Irrigation,Cotton,Biofertilizer,Green Manure,6125.9
Madhya Pradesh,Kolkata,Peaty,Barley,7.36,34.0,98.4,53.0,4.0,Evening,5334.7,Sprinkler Irrigation,Tea,DAP,Seaweed Extract,4373.8
Gujarat,Chennai,Clay,Soybean,4.92,35.2,282.1,69.0,7.6,Evening,2105.1,Sprinkler Irrigation,Groundnut,Biofertilizer,Neem Cake,1903.6
Uttar Pradesh,Kolkata,Saline,Tea,1.62,29.0,92.3,79.1,10.3,Morning,8520.9,Drip Irrigation,Cotton,DAP,Neem Cake,6425.1
Gujarat,Chennai,Silt,Wheat,5.98,33.5,201.9,78.7,11.8,Morning,3021.8,Furrow Irrigation,Maize,Urea,Seaweed Extract,6554.8
Karnataka,Lucknow,Silt,Sugarcane,8.73,39.4,125.8,52.1,5.7,Night,1105.1,Surface Irrigation,Wheat,DAP,Neem Cake,6600.4
Gujarat,Chennai,Loamy,Soybean,7.79,18.2,87.2,66.5,12.2,Evening,2358.1,Sprinkler Irrigation,Pulses,Compost,Seaweed Extract,6935.0
Karnataka,Bhopal,Silt,Wheat,0.89,35.7,62.2,86.2,8.7,Morning,7898.9,Surface Irrigation,Groundnut,DAP,Neem Cake,3790.3
Punjab,Ludhiana,Peaty,Wheat,4.95,24.6,92.1,78.2,6.8,Night,4595.4,Drip Irrigation,Pulses,Compost,Seaweed Extract,3394.1
Tamil Nadu,Bhopal,Sandy,Cotton,9.61,31.8,206.4,47.4,14.4,Night,1695.8,Sprinkler Irrigation,Barley,Biofertilizer,Cow Manure,2915.0
Maharashtra,Bhopal,Peaty,Barley,8.09,37.6,200.2,54.6,13.0,Night,2676.1,Furrow Irrigation,Cotton,DAP,Cow Manure,5152.4
Rajasthan,Bangalore,Silt,Rice,2.41,35.2,287.7,45.4,4.3,Evening,7254.5,Surface Irrigation,Tea,Biofertilizer,Green Manure,5957.0
West Bengal,Bangalore,Clay,Rice,4.26,21.7,177.2,50.0,8.1,Evening,9774.6,Sprinkler Irrigation,Wheat,Urea,Cow Manure,3537.2
West Bengal,Kolkata,Loamy,Rice,9.9,32.0,272.2,61.6,12.2,Night,6265.6,Drip Irrigation,Groundnut,DAP,Neem Cake,3502.3
Gujarat,Jaipur,Peaty,Pulses,3.89,38.5,74.3,46.8,10.0,Evening,8552.9,Drip Irrigation,Pulses,Compost,Green Manure,2229.8
Maharashtra,Rohtak,Clay,Wheat,4.65,24.5,287.2,45.8,9.9,Morning,2332.3,Surface Irrigation,Soybean,MOP,Seaweed Extract,5229.1
Tamil Nadu,Rohtak,Clay,Barley,8.16,22.0,177.2,69.5,7.8,Evening,9576.4,Drip Irrigation,Tea,Compost,Bone Meal,6536.0
Karnataka,Ludhiana,Loamy,Rice,4.62,28.5,254.0,69.9,6.1,Evening,5089.9,Drip Irrigation,Wheat,Compost,Bone Meal,6783.4
West Bengal,Bhopal,Peaty,Tea,6.94,15.6,296.9,82.3,12.9,Morning,9103.2,Drip Irrigation,Rice,MOP,Seaweed Extract,2598.9
Punjab,Ludhiana,Sandy,Cotton,7.92,25.4,190.8,60.0,7.8,Evening,3388.6,Drip Irrigation,Wheat,Vermicompost,Neem Cake,5697.4
Karnataka,Pune,Loamy,Cotton,1.87,36.6,135.5,40.4,6.2,Morning,7049.6,Drip Irrigation,Tea,Vermicompost,Cow Manure,6499.9
Madhya Pradesh,Pune,Clay,Tea,7.42,36.4,93.4,88.1,14.4,Morning,9083.1,Drip Irrigation,Tea,MOP,Bone Meal,6274.1
Maharashtra,Kolkata,Saline,Sugarcane,1.7,37.1,77.2,57.2,6.4,Evening,7487.0,Surface Irrigation,Cotton,MOP,Bone Meal,6369.3
Madhya Pradesh,Kolkata,Peaty,Soybean,9.89,39.5,291.0,42.8,8.2,Morning,6480.7,Surface Irrigation,Soybean,Urea,Seaweed Extract,2949.7
Rajasthan,Ludhiana,Saline,Soybean,1.81,22.7,176.7,57.3,4.4,Morning,8687.7,Furrow Irrigation,Rice,Urea,Neem Cake,2562.2
Uttar Pradesh,Kolkata,Silt,Tea,1.89,31.2,202.4,70.9,7.6,Evening,8324.4,Furrow Irrigation,Maize,Compost,Green Manure,2279.7
Gujarat,Bhopal,Sandy,Cotton,4.27,19.4,142.0,63.5,13.0,Night,3785.3,Surface Irrigation,Sugarcane,DAP,Cow Manure,2642.2
Gujarat,Rohtak,Silt,Sugarcane,9.63,32.5,177.5,40.5,4.7,Morning,3312.6,Surface Irrigation,Barley,Biofertilizer,Neem Cake,6206.7
Maharashtra,Ahmedabad,Sandy,Barley,3.79,20.6,282.4,65.2,7.5,Evening,8748.3,Drip Irrigation,Pulses,MOP,Cow Manure,1407.1
West Bengal,Chennai,Silt,Sugarcane,9.39,15.9,152.0,56.1,10.1,Night,8012.5,Furrow Irrigation,Cotton,DAP,Seaweed Extract,7405.1
Punjab,Bangalore,Loamy,Maize,3.91,27.3,213.9,69.0,6.2,Night,6512.6,Surface Irrigation,Soybean,Urea,Seaweed Extract,2365.6
Madhya Pradesh,Bangalore,Sandy,Tea,9.35,32.9,121.1,75.2,3.8,Evening,4600.9,Furrow Irrigation,Wheat,Vermicompost,Seaweed Extract,6680.2
Karnataka,Jaipur,Clay,Barley,8.47,16.9,250.9,63.7,10.1,Night,2392.1,Furrow Irrigation,Groundnut,Vermicompost,Bone Meal,6436.1
Maharashtra,Chennai,Sandy,Maize,1.24,21.7,201.4,48.0,3.0,Evening,2309.6,Furrow Irrigation,Soybean,Vermicompost,Seaweed Extract,7001.5
Karnataka,Ahmedabad,Saline,Tea,4.73,26.4,142.3,48.6,7.6,Night,1503.7,Drip Irrigation,Barley,Urea,Bone Meal,2798.7
Tamil Nadu,Jaipur,Loamy,Maize,7.21,18.6,279.6,43.4,7.3,Night,5276.8,Surface Irrigation,Sugarcane,Vermicompost,Seaweed Extract,3056.2
Maharashtra,Ahmedabad,Clay,Sugarcane,4.4,26.9,250.8,80.9,14.6,Morning,9621.7,Drip Irrigation,Sugarcane,MOP,Cow Manure,6472.7
Madhya Pradesh,Rohtak,Loamy,Tea,3.07,30.6,241.3,62.9,8.2,Evening,2697.3,Drip Irrigation,Soybean,Urea,Bone Meal,5311.8
Haryana,Bhopal,Peaty,Rice,6.34,30.3,70.5,64.4,2.4,Night,5092.9,Drip Irrigation,Cotton,DAP,Cow Manure,6729.0
Rajasthan,Chennai,Peaty,Pulses,2.32,27.4,224.0,65.4,5.7,Morning,7138.4,Drip Irrigation,Tea,Urea,Cow Manure,4668.3
Uttar Pradesh,Rohtak,Clay,Barley,4.4,38.3,88.6,85.2,7.4,Evening,7708.6,Furrow Irrigation,Cotton,Biofertilizer,Cow Manure,6841.7
West Bengal,Lucknow,Sandy,Sugarcane,2.91,19.4,67.0,73.8,8.1,Night,4218.6,Sprinkler Irrigation,Tea,Biofertilizer,Bone Meal,2173.3
Haryana,Jaipur,Peaty,Maize,3.71,16.6,101.5,66.6,7.1,Night,9189.1,Sprinkler Irrigation,Maize,Compost,Cow Manure,1955.6
Gujarat,Pune,Sandy,Groundnut,0.66,38.0,238.7,88.9,8.3,Night,3306.2,Surface Irrigation,Rice,MOP,Green Manure,7849.4
Karnataka,Pune,Sandy,Wheat,9.4,37.0,214.4,63.8,12.0,Morning,6077.3,Drip Irrigation,Maize,Biofertilizer,Green Manure,5452.4
Madhya Pradesh,Pune,Peaty,Soybean,7.98,35.3,211.8,70.5,14.4,Night,8982.6,Sprinkler Irrigation,Barley,Biofertilizer,Cow Manure,3764.2
Punjab,Ludhiana,Peaty,Groundnut,2.96,27.9,171.8,82.8,8.4,Evening,4677.4,Drip Irrigation,Barley,Compost,Cow Manure,7554.9
Madhya Pradesh,Jaipur,Clay,Cotton,6.53,35.1,59.9,83.2,6.2,Evening,1860.0,Surface Irrigation,Barley,Urea,Neem Cake,6034.6
Gujarat,Bangalore,Loamy,Pulses,4.12,38.0,252.9,57.1,14.6,Morning,6918.0,Furrow Irrigation,Pulses,Vermicompost,Green Manure,3807.2
Tamil Nadu,Bhopal,Saline,Wheat,4.4,28.2,125.3,79.3,11.3,Night,9289.9,Sprinkler Irrigation,Soybean,Vermicompost,Neem Cake,6516.5
West Bengal,Pune,Silt,Barley,4.29,36.0,273.4,71.8,4.1,Morning,9574.5,Furrow Irrigation,Tea,Urea,Cow Manure,2588.3
Punjab,Bangalore,Peaty,Cotton,4.18,25.0,276.6,62.4,12.8,Morning,1539.9,Furrow Irrigation,Sugarcane,Vermicompost,Green Manure,7871.8
Rajasthan,Bhopal,Peaty,Maize,0.75,30.3,179.3,51.9,11.3,Night,6404.9,Drip Irrigation,Cotton,DAP,Neem Cake,1814.9
Haryana,Bangalore,Peaty,Cotton,7.71,28.0,96.2,75.2,8.5,Night,2728.5,Furrow Irrigation,Groundnut,Vermicompost,Seaweed Extract,3280.7
Karnataka,Chennai,Clay,Groundnut,1.73,37.4,111.9,47.8,14.4,Evening,9300.9,Furrow Irrigation,Tea,Compost,Neem Cake,3069.0
Madhya Pradesh,Jaipur,Silt,Wheat,6.53,28.0,221.0,85.5,6.7,Night,4423.2,Sprinkler Irrigation,Barley,DAP,Neem Cake,7082.2
Rajasthan,Ahmedabad,Clay,Maize,4.92,28.9,285.2,57.2,7.1,Night,9885.0,Surface Irrigation,Cotton,Biofertilizer,Neem Cake,5089.7
Uttar Pradesh,Ahmedabad,Saline,Maize,4.19,39.9,101.5,84.8,14.5,Morning,8358.8,Surface Irrigation,Soybean,Biofertilizer,Green Manure,4580.7
West Bengal,Bangalore,Silt,Tea,3.12,33.2,114.9,47.0,10.2,Morning,3333.7,Sprinkler Irrigation,Soybean,Biofertilizer,Green Manure,4415.9
Uttar Pradesh,Ludhiana,Saline,Groundnut,7.66,18.8,212.5,41.9,9.4,Evening,5029.6,Drip Irrigation,Cotton,Urea,Seaweed Extract,1050.8
Uttar Pradesh,Lucknow,Clay,Wheat,4.21,20.3,171.4,55.1,12.7,Night,2165.9,Surface Irrigation,Sugarcane,MOP,Cow Manure,3791.4
Haryana,Pune,Saline,Sugarcane,3.92,25.1,169.8,64.8,5.3,Morning,7685.5,Sprinkler Irrigation,Sugarcane,MOP,Bone Meal,2578.7
West Bengal,Ahmedabad,Clay,Wheat,9.08,35.4,188.3,53.7,13.1,Evening,5582.2,Sprinkler Irrigation,Wheat,DAP,Cow Manure,7779.0
West Bengal,Bhopal,Saline,Barley,5.14,19.8,253.6,67.5,4.4,Night,8478.0,Furrow Irrigation,Soybean,Vermicompost,Green Manure,5681.3
Tamil Nadu,Bhopal,Saline,Wheat,4.85,18.2,88.3,51.8,4.5,Night,7234.3,Furrow Irrigation,Wheat,DAP,Green Manure,4770.1
West Bengal,Ludhiana,Sandy,Cotton,9.65,25.9,58.2,85.2,3.3,Evening,3366.9,Sprinkler Irrigation,Groundnut,MOP,Cow Manure,5815.0
Maharashtra,Chennai,Silt,Tea,9.57,32.0,56.6,54.5,10.8,Night,4711.6,Surface Irrigation,Sugarcane,Biofertilizer,Bone Meal,6900.6
Maharashtra,Rohtak,Sandy,Barley,6.79,17.0,110.4,61.7,9.5,Evening,3205.2,Surface Irrigation,Rice,Compost,Neem Cake,1758.4
Gujarat,Kolkata,Peaty,Tea,1.43,27.4,101.5,73.0,2.4,Evening,1884.6,Sprinkler Irrigation,Barley,DAP,Neem Cake,543.2
Punjab,Bangalore,Loamy,Soybean,7.72,18.6,263.8,79.3,8.1,Morning,2015.8,Sprinkler Irrigation,Barley,Vermicompost,Bone Meal,936.5
West Bengal,Bangalore,Loamy,Wheat,6.5,35.9,245.7,83.0,6.6,Evening,4858.4,Surface Irrigation,Rice,DAP,Bone Meal,3398.8
Punjab,Bhopal,Loamy,Cotton,7.59,22.3,53.3,64.5,14.7,Evening,4979.9,Drip Irrigation,Wheat,DAP,Seaweed Extract,6465.5
Gujarat,Chennai,Clay,Barley,3.96,15.7,240.6,61.8,2.9,Evening,4044.3,Sprinkler Irrigation,Rice,Compost,Cow Manure,7915.5
West Bengal,Ludhiana,Saline,Wheat,3.03,36.0,183.7,74.3,14.8,Night,4746.0,Drip Irrigation,Pulses,Biofertilizer,Bone Meal,6962.7
Tamil Nadu,Pune,Clay,Groundnut,3.71,29.8,145.2,69.1,10.9,Night,9957.4,Drip Irrigation,Rice,Vermicompost,Green Manure,3524.6
Punjab,Rohtak,Sandy,Soybean,9.92,31.4,178.4,72.3,14.6,Morning,7400.0,Surface Irrigation,Pulses,Vermicompost,Neem Cake,2301.8
Tamil Nadu,Lucknow,Peaty,Groundnut,6.15,33.2,280.8,53.4,13.3,Evening,9544.8,Surface Irrigation,Pulses,DAP,Green Manure,7243.5
Rajasthan,Bhopal,Silt,Pulses,1.31,34.9,289.9,61.1,4.3,Morning,5749.0,Sprinkler Irrigation,Rice,DAP,Seaweed Extract,6379.0
Gujarat,Kolkata,Sandy,Barley,4.65,35.7,126.1,57.2,9.1,Evening,8367.4,Surface Irrigation,Maize,Urea,Neem Cake,7602.7
Karnataka,Bangalore,Sandy,Groundnut,1.81,27.0,264.6,75.2,13.0,Night,4467.4,Sprinkler Irrigation,Soybean,Biofertilizer,Green Manure,4553.1
Tamil Nadu,Ludhiana,Clay,Rice,7.83,26.0,270.2,67.2,10.9,Morning,9782.6,Sprinkler Irrigation,Pulses,Vermicompost,Green Manure,6276.5
Madhya Pradesh,Kolkata,Saline,Wheat,3.7,30.6,81.6,45.1,6.3,Night,2285.1,Sprinkler Irrigation,Groundnut,Biofertilizer,Seaweed Extract,5436.7
Gujarat,Jaipur,Clay,Wheat,0.99,25.7,113.3,63.0,8.8,Night,1815.5,Furrow Irrigation,Soybean,Biofertilizer,Bone Meal,5397.6
Gujarat,Rohtak,Loamy,Sugarcane,0.51,37.1,107.4,69.1,11.6,Evening,3935.9,Surface Irrigation,Rice,Biofertilizer,Green Manure,4358.0
West Bengal,Pune,Saline,Tea,3.13,26.9,171.2,49.4,6.7,Morning,6168.0,Furrow Irrigation,Rice,MOP,Neem Cake,5781.8
Karnataka,Lucknow,Clay,Groundnut,3.45,19.6,143.0,71.6,10.0,Morning,6765.4,Furrow Irrigation,Barley,Compost,Green Manure,6313.3
Karnataka,Jaipur,Sandy,Groundnut,3.22,30.2,68.2,68.9,5.1,Morning,3913.4,Drip Irrigation,Tea,MOP,Cow Manure,1114.8
Punjab,Ahmedabad,Saline,Barley,5.74,16.2,201.3,46.6,12.1,Morning,2485.0,Furrow Irrigation,Barley,Urea,Neem Cake,995.3
Tamil Nadu,Rohtak,Peaty,Pulses,2.51,24.8,188.9,58.8,9.6,Night,4549.7,Furrow Irrigation,Sugarcane,Compost,Seaweed Extract,4277.0
Karnataka,Bangalore,Saline,Rice,3.24,27.6,245.2,42.6,12.6,Evening,2209.3,Sprinkler Irrigation,Soybean,MOP,Bone Meal,1073.5
West Bengal,Lucknow,Saline,Barley,0.9,24.7,87.0,85.9,3.2,Evening,5229.9,Furrow Irrigation,Groundnut,Urea,Cow Manure,5918.6
Uttar Pradesh,Jaipur,Silt,Maize,2.78,26.9,147.2,72.7,13.5,Night,9806.5,Furrow Irrigation,Maize,DAP,Green Manure,4333.8
Madhya Pradesh,Chennai,Sandy,Wheat,4.51,32.3,105.9,63.5,12.8,Morning,6563.4,Furrow Irrigation,Sugarcane,Biofertilizer,Neem Cake,590.4
Haryana,Bangalore,Silt,Rice,2.34,37.3,68.5,52.1,2.5,Night,7974.5,Surface Irrigation,Tea,Urea,Bone Meal,2627.7
Tamil Nadu,Lucknow,Saline,Wheat,8.5,34.3,189.1,75.3,8.7,Evening,9051.3,Sprinkler Irrigation,Sugarcane,Compost,Bone Meal,1359.1
Tamil Nadu,Chennai,Silt,Groundnut,3.57,16.7,85.0,49.4,2.9,Morning,9945.0,Sprinkler Irrigation,Wheat,Vermicompost,Cow Manure,2454.9
Maharashtra,Lucknow,Clay,Barley,7.12,21.3,136.1,44.9,8.0,Evening,2553.8,Drip Irrigation,Sugarcane,DAP,Seaweed Extract,3688.5
Punjab,Kolkata,Loamy,Groundnut,1.41,27.9,74.9,46.4,4.4,Evening,8403.9,Surface Irrigation,Barley,Biofertilizer,Seaweed Extract,1897.5
Karnataka,Chennai,Loamy,Groundnut,2.17,36.3,236.4,66.1,8.8,Evening,2884.8,Surface Irrigation,Soybean,MOP,Seaweed Extract,6199.5
Madhya Pradesh,Bhopal,Silt,Groundnut,0.93,21.8,171.9,65.7,5.5,Morning,8948.3,Surface Irrigation,Cotton,MOP,Neem Cake,4322.4
West Bengal,Lucknow,Clay,Cotton,9.13,33.6,129.2,58.2,11.4,Evening,7622.2,Surface Irrigation,Pulses,Biofertilizer,Seaweed Extract,3707.9
West Bengal,Kolkata,Loamy,Soybean,2.24,24.2,225.5,48.3,11.7,Evening,3187.1,Sprinkler Irrigation,Groundnut,Urea,Bone Meal,3926.3
Karnataka,Ahmedabad,Saline,Rice,8.05,30.6,148.3,46.8,12.4,Night,6477.3,Sprinkler Irrigation,Sugarcane,Vermicompost,Green Manure,7469.6
Maharashtra,Ludhiana,Silt,Maize,2.09,20.1,96.9,75.9,3.6,Night,4766.0,Furrow Irrigation,Maize,Urea,Neem Cake,5461.2
Haryana,Kolkata,Clay,Pulses,8.85,15.1,168.6,59.4,2.8,Night,1192.9,Drip Irrigation,Groundnut,Vermicompost,Seaweed Extract,2702.1
West Bengal,Ludhiana,Silt,Soybean,5.02,34.2,98.1,52.4,12.5,Night,4878.0,Drip Irrigation,Sugarcane,Urea,Neem Cake,828.5
Maharashtra,Lucknow,Clay,Soybean,0.69,36.4,69.0,70.8,14.0,Morning,7274.3,Sprinkler Irrigation,Groundnut,Vermicompost,Seaweed Extract,2978.8
Madhya Pradesh,Rohtak,Silt,Rice,5.73,23.1,107.1,49.9,5.3,Night,5080.1,Furrow Irrigation,Rice,Compost,Neem Cake,6874.3
West Bengal,Rohtak,Loamy,Rice,3.16,17.3,192.8,67.9,10.0,Morning,2718.1,Sprinkler Irrigation,Cotton,DAP,Green Manure,7569.5
Karnataka,Ahmedabad,Clay,Pulses,0.74,38.1,215.1,44.8,2.5,Evening,9342.8,Furrow Irrigation,Maize,MOP,Cow Manure,3927.1
Rajasthan,Pune,Silt,Barley,9.93,25.0,60.0,56.0,9.0,Night,1789.8,Drip Irrigation,Wheat,Biofertilizer,Green Manure,7761.5
Gujarat,Jaipur,Silt,Wheat,6.23,22.1,143.6,74.7,3.8,Evening,2689.9,Surface Irrigation,Wheat,Vermicompost,Bone Meal,4650.2
West Bengal,Chennai,Silt,Tea,5.9,38.9,56.3,56.0,2.9,Night,9869.5,Drip Irrigation,Sugarcane,Urea,Neem Cake,7331.5
Karnataka,Ahmedabad,Saline,Sugarcane,7.07,34.6,66.4,53.8,5.3,Morning,2813.6,Sprinkler Irrigation,Tea,Biofertilizer,Seaweed Extract,3954.9
Karnataka,Jaipur,Sandy,Cotton,7.18,22.7,274.2,66.3,4.8,Night,8930.5,Surface Irrigation,Wheat,Compost,Bone Meal,7318.8
Gujarat,Bhopal,Clay,Barley,8.3,17.9,81.4,67.4,10.5,Evening,4372.1,Drip Irrigation,Pulses,Urea,Cow Manure,6147.6
West Bengal,Pune,Saline,Rice,7.04,16.4,191.7,48.5,8.6,Morning,3791.0,Sprinkler Irrigation,Sugarcane,Urea,Green Manure,4026.6
